Kode Unit,Judul Unit,Elemen Kompetensi,Jabatan
H.52LOG00.035.2,Mengelola Pengembalian Barang (Reverse Logistics),Menentukan disposisi barang retur,Analyst Logistik
H.52LOG00.021.2,Melakukan Pengemasan (Packing),Menyiapkan material pengemas,Operasional Logistik
H.52LOG00.021.2,Melakukan Pengemasan (Packing),Melaksanakan proses pengemasan,Operasional Logistik
H.52LOG00.026.2,Mengelola Pengiriman Barang Internasional,Menentukan rute internasional,Freight Forwarder
H.52LOG00.026.2,Mengelola Pengiriman Barang Internasional,Mengurus asuransi pengiriman,Freight Forwarder
M.741000.001.02,Mengaplikasikan Prinsip Dasar Desain,Menentukan sumber informasi pendukung desain,Desainer Grafis
M.741000.001.02,Mengaplikasikan Prinsip Dasar Desain,Menerapkan prinsip dasar desain,Desainer Grafis
M.741000.002.03,Mengoperasikan Perangkat Lunak Desain,Mempersiapkan perangkat lunak desain,Desainer Grafis
M.741000.002.03,Mengoperasikan Perangkat Lunak Desain,Membuat dokumen desain,Desainer Grafis
M.741000.005.02,Menyusun Background/Latar Belakang,Melakukan riset latar belakang,Desainer Grafis
M.741000.005.02,Menyusun Background/Latar Belakang,Merumuskan strategi desain,Desainer Grafis
M.741000.006.01,Melaksanakan Penulisan Kreatif (Copywriting),Menciptakan ide penulisan,Desainer Grafis
M.741000.006.01,Melaksanakan Penulisan Kreatif (Copywriting),Membuat draf tulisan,Desainer Grafis
M.741000.007.01,Melaksanakan Penulisan Teknis (Scriptwriting),Menyusun struktur skrip,Desainer Grafis
M.741000.008.02,Menetapkan Strategi Desain,Menetapkan kriteria desain,Desainer Grafis
M.741000.009.02,Mengarahkan Tim Kreatif,Memberikan arahan kreatif,Art Director
M.741000.009.02,Mengarahkan Tim Kreatif,Mengevaluasi hasil kerja tim,Art Director
M.741000.010.01,Mengelola Proyek Desain,Melakukan perencanaan proyek,Project Manager
M.741000.010.01,Mengelola Proyek Desain,Mengawasi jalannya proyek,Project Manager
M.741000.011.01,Menetapkan Konsep Desain,Mengembangkan ide visual,Senior Desainer
M.741000.011.01,Menetapkan Konsep Desain,Memilih konsep terbaik,Senior Desainer
M.741000.012.01,Membuat Purwarupa (Prototyping),Menyiapkan elemen purwarupa,Desainer Grafis
M.741000.012.01,Membuat Purwarupa (Prototyping),Menyusun model purwarupa,Desainer Grafis
M.741000.013.01,Mempresentasikan Karya Desain,Menyiapkan materi presentasi,Desainer Grafis
M.741000.013.01,Mempresentasikan Karya Desain,Melakukan sesi presentasi,Desainer Grafis
J.62DDS00.001.1,Menentukan Objek Data,Mengidentifikasi sumber data,Data Scientist
J.62DDS00.001.1,Menentukan Objek Data,Menelaah karakteristik data,Data Scientist
J.62DDS00.002.1,Memilih Sumber Data,Mengevaluasi kualitas sumber data,Data Scientist
J.62DDS00.002.1,Memilih Sumber Data,Menetapkan sumber data terpilih,Data Scientist
J.62DDS00.003.1,Mengumpulkan Data,Melaksanakan akuisisi data,Data Scientist
J.62DDS00.003.1,Mengumpulkan Data,Mendokumentasikan proses koleksi,Data Scientist
J.62DDS00.004.1,Menelaah Data,Melakukan inspeksi data,Data Scientist
J.62DDS00.004.1,Menelaah Data,Memvalidasi kualitas data,Data Scientist
J.62DDS00.005.1,Membersihkan Data,Menangani data yang tidak lengkap,Data Scientist
J.62DDS00.005.1,Membersihkan Data,Menormalisasi format data,Data Scientist
J.62DDS00.006.1,Mengonstruksi Data,Melakukan transformasi data,Data Scientist
J.62DDS00.006.1,Mengonstruksi Data,Menyiapkan dataset final,Data Scientist
J.62DDS00.007.1,Membangun Model,Memilih algoritma pemodelan,Data Scientist
J.62DDS00.007.1,Membangun Model,Melatih model data,Data Scientist
J.62DDS00.008.1,Mengevaluasi Hasil Pemodelan,Mengukur performa model,Data Scientist
J.62DDS00.008.1,Mengevaluasi Hasil Pemodelan,Melakukan validasi model,Data Scientist
J.62DDS00.009.1,Mengomunikasikan Hasil,Membuat visualisasi data,Data Scientist
J.62DDS00.009.1,Mengomunikasikan Hasil,Menyampaikan temuan kepada stakeholder,Data Scientist
J.62DDS00.010.1,Membuat Laporan Akhir,Menyusun dokumentasi teknis,Data Scientist
J.62DDS00.010.1,Membuat Laporan Akhir,Memfinalisasi laporan proyek,Data Scientist
M.70DAN00.001.1,Mengidentifikasi Masalah Bisnis,Menentukan kebutuhan bisnis,Data Analyst
M.70DAN00.001.1,Mengidentifikasi Masalah Bisnis,Menentukan ruang lingkup analisis,Data Analyst
M.70DAN00.002.1,Menentukan Kebutuhan Data,Mengidentifikasi sumber data,Data Analyst
M.70DAN00.002.1,Menentukan Kebutuhan Data,Menyusun spesifikasi data,Data Analyst
M.70DAN00.003.1,Mengumpulkan Data,Melakukan akuisisi data,Data Analyst
M.70DAN00.004.1,Menelaah Data,Melakukan eksplorasi data,Data Analyst
M.70DAN00.005.1,Membersihkan Data,Menangani kesalahan data,Data Analyst
M.70DAN00.006.1,Mengonstruksi Data,Melakukan transformasi data,Data Analyst
M.70DAN00.007.1,Menganalisis Data Menggunakan Statistik,Menerapkan metode statistik,Data Analyst
M.70DAN00.008.1,Menganalisis Data Menggunakan Alat Pemodelan,Membangun model analitik,Data Analyst
M.70DAN00.009.1,Mengevaluasi Hasil Analisis,Melakukan validasi hasil,Data Analyst
M.70DAN00.010.1,Melakukan Visualisasi Data,Merancang visualisasi,Data Analyst
M.70DAN00.010.1,Melakukan Visualisasi Data,Mengomunikasikan insight,Data Analyst
M.70DAN00.011.1,Membuat Laporan Hasil Analisis,Menyusun draf laporan,Data Analyst
M.70DAN00.012.1,Mengelola Keamanan dan Privasi Data,Menerapkan proteksi data,Data Analyst
M.70DAN00.013.1,Melakukan Penjaminan Kualitas Analisis,Memeriksa proses analisis,Data Analyst
M.70DAN00.014.1,Memberikan Dukungan Pengambilan Keputusan,Menyajikan opsi keputusan,Data Analyst
M.70DAN00.008.1,Menganalisis Data Menggunakan Alat Pemodelan,Mengoptimasi model,Data Analyst
M.70DAN00.005.1,Membersihkan Data,Mendokumentasikan pembersihan,Data Analyst
M.70DAN00.009.1,Mengevaluasi Hasil Analisis,Menelaah dampak bisnis,Data Analyst
J.620900.001.03,Menyusun Rancangan Pengamanan Informasi,Menentukan parameter keamanan,Security Analyst
J.620900.001.03,Menyusun Rancangan Pengamanan Informasi,Merancang arsitektur keamanan,Security Analyst
J.620900.002.03,Mengoperasikan Piranti Lunak Keamanan,Menyiapkan instalasi piranti lunak,Security Engineer
J.620900.002.03,Mengoperasikan Piranti Lunak Keamanan,Melakukan konfigurasi piranti lunak,Security Engineer
J.620900.004.03,Melakukan Pengaturan Akses Keamanan,Menetapkan kebijakan akses,System Administrator
J.620900.004.03,Melakukan Pengaturan Akses Keamanan,Mengelola akun pengguna,System Administrator
J.620900.008.03,Menangani Insiden Keamanan,Melakukan deteksi dini insiden,Incident Responder
J.620900.008.03,Menangani Insiden Keamanan,Melakukan tindakan respons,Incident Responder
J.620900.009.03,Melakukan Pemindaian Kerentanan,Merencanakan pemindaian,Vulnerability Researcher
J.620900.009.03,Melakukan Pemindaian Kerentanan,Menganalisis hasil pemindaian,Vulnerability Researcher
J.620900.012.03,Melakukan Audit Keamanan Informasi Internal,Menyiapkan instrumen audit,Security Auditor
J.620900.012.03,Melakukan Audit Keamanan Informasi Internal,Melaksanakan verifikasi kepatuhan,Security Auditor
J.620900.015.02,Melakukan Akuisisi Data Digital,Mengamankan barang bukti,Forensic Analyst
J.620900.015.02,Melakukan Akuisisi Data Digital,Melakukan penggandaan bit-per-bit,Forensic Analyst
J.620900.019.02,Memberikan Sosialisasi Keamanan,Menyusun materi kesadaran keamanan,Security Officer
J.620900.019.02,Memberikan Sosialisasi Keamanan,Mengevaluasi efektivitas sosialisasi,Security Officer
J.620900.021.02,Melakukan Analisis Risiko Keamanan,Mengidentifikasi ancaman dan dampak,Risk Manager
J.620900.021.02,Melakukan Analisis Risiko Keamanan,Menentukan opsi mitigasi risiko,Risk Manager
